year,quarter,dau_millions,revenue_millions,arpu_dollars
2017,Q1,166,149.6,0.90
2017,Q2,173,181.7,1.05
2017,Q3,178,207.9,1.17
2017,Q4,187,285.7,1.53
2018,Q1,191,230.7,1.21
2018,Q2,188,262.3,1.40
2018,Q3,186,297.7,1.60
2018,Q4,186,389.8,2.09
2019,Q1,190,320.4,1.68
2019,Q2,203,388.0,1.91
2019,Q3,210,446.2,2.12
2019,Q4,218,560.9,2.58
2020,Q1,229,462.5,2.02
2020,Q2,238,454.2,1.91
2020,Q3,249,678.7,2.73
2020,Q4,265,911.3,3.44
2021,Q1,280,769.6,2.74
2021,Q2,293,982.1,3.35
2021,Q3,306,1067.3,3.49
2021,Q4,319,1297.9,4.06
2022,Q1,332,1062.7,3.20
2022,Q2,347,1110.9,3.20
2022,Q3,363,1128.5,3.11
2022,Q4,375,1300.0,3.47
2023,Q1,383,988.6,2.58
2023,Q2,397,1067.7,2.69
2023,Q3,406,1188.6,2.93
2023,Q4,414,1361.0,3.29
2024,Q1,422,1194.8,2.83
2024,Q2,432,1236.7,2.86
2024,Q3,443,1372.6,3.10
2024,Q4,453,1557.2,3.44
2025,Q1,460,1363.0,2.96
2025,Q2,469,1345.3,2.87
2025,Q3,477,1507.0,3.16
2025,Q4,474,1716.0,3.62
